timestamp,1153_transform_pitch,1153_transform_yaw,1153_transform_roll,1153_vel_x (m/s),1153_vel_y (m/s),1153_vel_z (m/s),1153_angular_vel_x (rad/s),1153_angular_vel_y (rad/s),1153_angular_vel_z (rad/s),1153_acc_x (m/s²),1153_acc_y (m/s²),1153_acc_z (m/s²) gravity,1154_transform_pitch,1154_transform_yaw,1154_transform_roll,1154_vel_x (m/s),1154_vel_y (m/s),1154_vel_z (m/s),1154_angular_vel_x (rad/s),1154_angular_vel_y (rad/s),1154_angular_vel_z (rad/s),1154_acc_x (m/s²),1154_acc_y (m/s²),1154_acc_z (m/s²) gravity
1576242962564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,9.51,-180.0,0.02,-0.0,-0.0,-27.34,0.01,3.52,-0.0,-0.0,0.0,-9.53
1576242962735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,9.69,-180.0,0.02,-0.0,-0.0,-27.82,0.01,3.52,-0.0,-0.0,0.0,-9.52
1576242962841,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,9.86,-180.0,0.02,-0.0,-0.0,-28.3,0.01,3.52,-0.0,-0.0,0.0,-9.52
1576242962962,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,10.04,-180.0,0.02,-0.0,-0.0,-28.77,0.01,3.52,-0.0,-0.01,0.0,-9.51
1576242963075,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.02,-0.0,0.01,0.0,-0.0,10.21,-180.0,0.02,-0.0,-0.0,-29.25,0.01,3.52,-0.0,-0.01,0.0,-9.51
1576242963214,-0.15,0.0,0.0,0.82,0.0,0.0,-0.0,1.92,0.0,7.84,0.0,-0.0,0.0,-180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,594.45
1576242963336,-0.15,0.0,0.0,0.82,0.0,0.0,-0.0,1.92,0.0,7.84,0.0,-0.0,0.0,-180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,594.45
1576242963460,-0.24,0.0,0.0,1.18,0.0,0.0,-0.0,1.84,0.0,7.25,0.0,-0.0,0.0,-180.0,0.0,0.0,0.0,-0.49,0.0,0.0,0.0,0.0,0.0,-9.8
1576242963574,-0.32,-0.12,-0.07,1.5,-0.14,0.0,1.98,1.48,-3.85,6.47,-2.73,-0.0,0.0,-180.0,0.0,0.0,0.0,-0.98,0.0,0.0,0.0,0.0,0.0,-9.79
1576242963733,-0.39,-0.37,-0.14,1.81,-0.2,0.0,1.07,1.14,-5.46,6.22,-1.2,-0.0,0.06,-180.0,-0.0,0.0,-0.0,-1.28,-0.05,3.52,0.08,0.0,-0.04,-5.91
1576242963831,-0.43,-0.65,-0.16,2.11,-0.21,0.0,0.21,0.83,-5.69,5.98,-0.3,-0.0,0.14,-180.0,-0.0,0.0,-0.0,-0.75,0.0,1.09,0.0,0.07,0.03,10.51
1576242963953,-0.46,-0.74,-0.05,2.4,-0.05,0.0,-2.25,0.57,-0.72,5.67,3.32,0.0,0.16,-180.0,-0.0,0.0,-0.0,-0.42,0.01,0.36,0.0,-0.05,0.01,6.51
1576242964091,-0.48,-0.91,-0.07,2.65,-0.2,0.0,1.23,0.25,-4.68,5.12,-3.0,-0.0,0.17,-180.0,-0.0,0.0,-0.0,-0.22,0.01,0.06,0.0,-0.02,0.0,4.01
1576242964203,-0.49,-1.18,-0.11,2.91,-0.24,0.0,0.68,0.11,-5.58,5.15,-0.95,-0.0,0.17,-180.0,0.0,-0.0,-0.0,-0.1,0.0,-0.05,-0.0,-0.01,0.0,2.4
1576242964315,-0.49,-1.55,-0.18,3.15,-0.35,0.0,1.13,-0.04,-8.1,4.76,-2.14,-0.0,0.17,-180.0,0.0,-0.0,0.0,-0.03,0.0,-0.09,-0.0,-0.0,0.0,1.39
1576242964431,-0.49,-1.96,-0.2,3.39,-0.38,0.0,0.27,-0.08,-8.3,4.84,-0.66,0.0,0.16,-180.0,0.0,-0.0,0.0,0.0,0.0,-0.09,-0.0,-0.0,0.0,0.76
1576242964559,-0.48,-2.34,-0.18,3.63,-0.39,0.0,-0.37,-0.1,-7.55,4.77,-0.07,0.0,0.16,-180.0,0.0,-0.0,0.0,0.02,-0.0,-0.08,-0.0,0.0,0.0,0.38
1576242964678,-0.48,-2.67,-0.14,3.86,-0.37,0.0,-0.75,-0.11,-6.2,4.67,0.31,0.0,0.15,-180.0,0.0,-0.0,0.0,0.03,-0.0,-0.07,-0.0,0.0,-0.0,0.15
1576242964821,-0.47,-2.95,-0.1,4.09,-0.38,0.0,-0.56,-0.14,-5.4,4.52,-0.08,0.0,0.15,-180.0,0.0,-0.0,0.0,0.03,-0.0,-0.06,-0.0,0.0,-0.0,0.03
1576242964925,-0.46,-3.22,-0.09,4.31,-0.41,0.0,-0.09,-0.17,-5.46,4.36,-0.69,-0.0,0.15,-180.0,0.0,-0.0,0.0,0.03,-0.0,-0.05,-0.0,0.0,-0.0,-0.04
1576242965074,-0.45,-3.52,-0.11,4.52,-0.47,0.0,0.39,-0.21,-6.3,4.2,-1.26,-0.0,0.15,-180.0,0.0,-0.0,0.0,0.03,-0.0,-0.04,-0.0,0.0,-0.0,-0.07
1576242965178,-0.44,-3.49,0.08,4.71,-0.13,0.0,-5.28,-0.01,4.54,3.84,6.94,0.0,0.14,-180.0,0.0,-0.0,0.0,0.02,-0.0,-0.03,-0.0,0.0,-0.0,-0.08
1576242965293,-0.43,-3.38,0.12,4.91,-0.27,0.0,0.78,-0.28,0.47,3.96,-2.94,-0.0,0.14,-180.0,0.0,-0.0,0.0,0.02,-0.0,-0.03,-0.0,0.0,-0.0,-0.08
1576242965412,-0.42,-3.4,0.06,5.11,-0.33,0.01,1.2,-0.26,-0.61,4.11,-1.06,0.3,0.14,-180.0,0.0,-0.0,0.0,0.01,-0.0,-0.02,-0.0,0.0,-0.0,-0.07
1576242965529,-0.41,-3.62,-0.09,5.29,-0.53,0.01,3.19,-0.38,-6.0,3.51,-4.09,-0.16,0.14,-180.0,0.0,-0.0,0.0,0.01,-0.0,-0.02,-0.0,0.0,-0.0,-0.06
1576242965645,-0.4,-4.05,-0.24,5.47,-0.69,0.0,2.29,-0.28,-9.27,3.67,-3.11,-0.09,0.16,-179.99,-0.0,-0.15,-0.0,0.01,-0.05,0.79,0.14,-3.05,-0.08,-0.05
1576242965772,-0.39,-4.52,-0.26,5.65,-0.72,0.0,0.13,-0.17,-9.73,3.64,-0.67,-0.04,0.22,180.0,-0.01,-0.36,-0.02,0.01,-0.19,0.97,-1.23,-4.1,-0.23,-0.04
1576242965901,-0.39,-4.84,-0.18,5.87,-0.66,-0.0,-1.71,0.08,-5.1,4.28,1.24,-0.02,0.26,179.94,-0.02,-0.5,-0.02,0.01,-0.14,0.74,-1.02,-2.76,-0.12,-0.03
1576242966027,-0.38,-4.96,-0.03,6.07,-0.53,-0.0,-2.68,0.15,-1.64,4.0,2.52,-0.01,0.31,179.95,-0.03,-0.73,-0.03,0.0,-0.19,1.09,0.2,-4.71,-0.18,-0.03
1576242966144,-0.38,-4.88,0.08,6.26,-0.46,-0.0,-1.81,0.08,2.73,3.93,1.49,-0.0,0.39,-179.96,-0.05,-1.09,-0.05,0.0,-0.43,1.54,2.16,-7.15,-0.47,-0.02
1576242966305,-0.37,-4.48,0.31,6.43,-0.13,-0.0,-5.89,0.22,11.28,3.38,6.53,0.0,0.46,-179.85,-0.07,-1.42,-0.07,0.0,-0.42,1.44,2.5,-6.63,-0.39,-0.02
